"kön","utbildningsområde MYH","region (hemlän)","utbildningens studietakt","Antal ansökningar 2020","Antal ansökningar 2021","Antal ansökningar 2022","Antal ansökningar 2023","Antal ansökningar 2024","Antal sökande 2020","Antal sökande 2021","Antal sökande 2022","Antal sökande 2023","Antal sökande 2024","Antal behöriga sökande 2020","Antal behöriga sökande 2021","Antal behöriga sökande 2022","Antal behöriga sökande 2023","Antal behöriga sökande 2024","Antal antagna vid start 2020","Antal antagna vid start 2021","Antal antagna vid start 2022","Antal antagna vid start 2023","Antal antagna vid start 2024"
"totalt","Lantbruk, djurvård, trädgård, skog och fiske"," Kalmar län","Totalt",0,0,15,15,16,0,0,9,12,15,0,0,6,7,10,0,0,4,6,8
"totalt","Lantbruk, djurvård, trädgård, skog och fiske"," Kalmar län","Heltid",0,0,0,3,8,0,0,3,3,7,0,0,0,0,4,0,0,0,0,3
"totalt","Lantbruk, djurvård, trädgård, skog och fiske"," Kalmar län","Deltid",0,0,13,12,8,0,0,7,10,8,0,0,5,6,6,0,0,4,5,5
"totalt","Lantbruk, djurvård, trädgård, skog och fiske"," Gotlands län","Totalt",0,0,5,10,8,0,0,3,6,8,0,0,3,4,3,0,0,0,3,0
"totalt","Lantbruk, djurvård, trädgård, skog och fiske"," Gotlands län","Heltid",0,0,0,6,6,0,0,0,4,6,0,0,3,0,3,0,0,0,0,3
"totalt","Lantbruk, djurvård, trädgård, skog och fiske"," Gotlands län","Deltid",0,3,4,4,0,0,0,0,4,3,0,0,0,3,0,0,0,3,3,0
"totalt","Lantbruk, djurvård, trädgård, skog och fiske"," Blekinge län","Totalt",0,0,3,6,10,3,0,3,5,8,3,0,3,5,4,0,0,3,3,4
"totalt","Lantbruk, djurvård, trädgård, skog och fiske"," Blekinge län","Heltid",0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0
"totalt","Lantbruk, djurvård, trädgård, skog och fiske"," Blekinge län","Deltid",3,0,0,3,8,3,0,3,3,6,0,0,3,3,4,0,0,3,3,4
"totalt","Lantbruk, djurvård, trädgård, skog och fiske"," Skåne län","Totalt",10,22,58,117,91,10,18,43,85,78,10,18,32,80,64,10,16,30,68,37
"totalt","Lantbruk, djurvård, trädgård, skog och fiske"," Skåne län","Heltid",0,0,10,23,28,0,0,10,20,27,0,0,6,18,22,0,0,4,10,13
"totalt","Lantbruk, djurvård, trädgård, skog och fiske"," Skåne län","Deltid",10,22,48,94,63,10,18,34,70,53,10,18,27,66,43,10,16,26,59,25
"totalt","Lantbruk, djurvård, trädgård, skog och fiske"," Hallands län","Totalt",5,7,22,48,35,5,7,16,36,27,5,7,15,30,21,5,6,12,22,16
"totalt","Lantbruk, djurvård, trädgård, skog och fiske"," Hallands län","Heltid",0,0,5,20,10,0,0,5,14,9,0,0,5,12,8,0,0,5,5,6
"totalt","Lantbruk, djurvård, trädgård, skog och fiske"," Hallands län","Deltid",5,7,17,28,25,5,7,12,23,19,5,7,11,19,13,5,6,8,18,10
"totalt","Lantbruk, djurvård, trädgård, skog och fiske"," Västra Götalands län","Totalt",19,38,127,218,171,18,27,104,152,147,18,27,88,137,110,17,26,68,105,82
"totalt","Lantbruk, djurvård, trädgård, skog och fiske"," Västra Götalands län","Heltid",0,0,35,71,77,0,0,35,58,72,0,0,25,50,54,0,0,15,26,35
"totalt","Lantbruk, djurvård, trädgård, skog och fiske"," Västra Götalands län","Deltid",19,38,92,147,94,18,27,71,105,77,18,27,65,94,58,17,26,55,81,49
"totalt","Lantbruk, djurvård, trädgård, skog och fiske"," Värmlands län","Totalt",3,3,9,27,34,3,0,7,17,22,0,3,7,12,18,0,0,5,7,16
"totalt","Lantbruk, djurvård, trädgård, skog och fiske"," Värmlands län","Heltid",0,0,0,9,18,0,0,3,5,13,0,0,0,3,8,0,0,0,0,7
"totalt","Lantbruk, djurvård, trädgård, skog och fiske"," Värmlands län","Deltid",0,3,7,18,16,3,3,5,13,11,3,0,5,9,10,3,0,4,5,9
"totalt","Lantbruk, djurvård, trädgård, skog och fiske"," Örebro län","Totalt",4,0,6,27,17,4,0,6,23,17,4,3,4,20,14,3,3,4,17,9
"totalt","Lantbruk, djurvård, trädgård, skog och fiske"," Örebro län","Heltid",0,0,0,9,5,0,0,0,7,5,0,0,0,5,4,0,0,0,3,3
"totalt","Lantbruk, djurvård, trädgård, skog och fiske"," Örebro län","Deltid",4,3,6,18,12,4,3,6,16,12,4,0,4,15,10,3,0,4,14,7
"totalt","Lantbruk, djurvård, trädgård, skog och fiske"," Västmanlands län","Totalt",0,0,8,10,24,0,0,7,9,18,0,3,5,7,15,0,0,5,5,12
"totalt","Lantbruk, djurvård, trädgård, skog och fiske"," Västmanlands län","Heltid",0,0,3,0,11,0,0,3,3,9,0,0,0,3,7,0,0,3,0,5
"totalt","Lantbruk, djurvård, trädgård, skog och fiske"," Västmanlands län","Deltid",0,3,6,8,13,0,0,6,7,10,0,3,4,5,9,0,3,4,5,8
"totalt","Lantbruk, djurvård, trädgård, skog och fiske"," Dalarnas län","Totalt",0,0,8,16,22,0,0,6,9,18,0,0,4,9,14,0,0,3,6,9
"totalt","Lantbruk, djurvård, trädgård, skog och fiske"," Dalarnas län","Heltid",0,0,5,0,4,0,0,4,0,4,0,0,3,0,3,0,0,3,0,3
"totalt","Lantbruk, djurvård, trädgård, skog och fiske"," Dalarnas län","Deltid",0,0,3,14,18,0,0,3,8,14,0,0,3,8,12,0,0,3,5,7
"totalt","Lantbruk, djurvård, trädgård, skog och fiske"," Gävleborgs län","Totalt",0,4,9,10,15,0,3,7,7,15,0,3,5,5,11,0,3,0,4,9
"totalt","Lantbruk, djurvård, trädgård, skog och fiske"," Gävleborgs län","Heltid",0,0,3,0,4,0,0,3,0,4,0,0,3,0,0,0,0,0,0,0
"totalt","Lantbruk, djurvård, trädgård, skog och fiske"," Gävleborgs län","Deltid",0,4,6,9,11,0,3,4,6,11,0,3,3,5,9,0,3,0,4,8
"totalt","Lantbruk, djurvård, trädgård, skog och fiske"," Västernorrlands län","Totalt",0,0,6,8,9,3,0,4,8,9,0,0,3,5,4,0,0,0,4,0
"totalt","Lantbruk, djurvård, trädgård, skog och fiske"," Västernorrlands län","Heltid",0,0,0,3,5,0,0,0,3,5,0,0,3,0,0,0,0,0,0,0
"totalt","Lantbruk, djurvård, trädgård, skog och fiske"," Västernorrlands län","Deltid",0,0,5,6,4,3,0,3,6,4,0,0,3,4,3,0,0,3,4,0
"totalt","Lantbruk, djurvård, trädgård, skog och fiske"," Jämtlands län","Totalt",0,0,0,0,5,0,3,0,3,4,0,3,3,0,3,0,0,0,0,3
"totalt","Lantbruk, djurvård, trädgård, skog och fiske"," Jämtlands län","Heltid",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"totalt","Lantbruk, djurvård, trädgård, skog och fiske"," Jämtlands län","Deltid",0,3,3,0,3,0,0,3,0,3,0,3,0,3,0,0,3,0,0,3
"totalt","Lantbruk, djurvård, trädgård, skog och fiske"," Västerbottens län","Totalt",0,0,7,11,9,0,0,4,5,7,0,0,4,5,6,0,0,3,3,5
"totalt","Lantbruk, djurvård, trädgård, skog och fiske"," Västerbottens län","Heltid",0,0,0,3,5,0,0,0,3,4,0,0,0,3,3,0,0,3,0,0
"totalt","Lantbruk, djurvård, trädgård, skog och fiske"," Västerbottens län","Deltid",0,0,6,8,4,0,0,3,4,4,0,0,3,4,4,0,0,3,3,3
"totalt","Lantbruk, djurvård, trädgård, skog och fiske"," Norrbottens län","Totalt",0,4,0,0,8,0,3,0,0,6,0,3,0,0,5,0,0,0,0,3
"totalt","Lantbruk, djurvård, trädgård, skog och fiske"," Norrbottens län","Heltid",0,0,0,0,5,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0
"totalt","Lantbruk, djurvård, trädgård, skog och fiske"," Norrbottens län","Deltid",0,4,0,0,3,0,3,0,0,3,0,3,0,0,3,0,3,0,0,3
"totalt","Lantbruk, djurvård, trädgård, skog och fiske","Uppgift saknas","Totalt",0,0,3,6,13,0,0,3,4,8,0,0,0,0,7,0,0,0,3,3
"totalt","Lantbruk, djurvård, trädgård, skog och fiske","Uppgift saknas","Heltid",0,0,3,3,5,0,0,3,3,4,0,0,0,0,3,0,0,0,0,0
"totalt","Lantbruk, djurvård, trädgård, skog och fiske","Uppgift saknas","Deltid",0,0,3,3,8,0,0,0,3,5,0,0,0,3,5,0,0,0,0,0
"totalt","Pedagogik och undervisning","Samtliga län","Totalt",182,51,555,1973,1499,180,51,539,1620,1319,159,49,296,1026,944,136,47,127,473,533
"totalt","Pedagogik och undervisning","Samtliga län","Heltid",0,0,0,430,179,0,0,0,389,178,0,0,0,215,145,0,0,0,102,86
"totalt","Pedagogik och undervisning","Samtliga län","Deltid",182,51,555,1543,1320,180,51,539,1351,1159,159,49,296,894,808,136,47,127,379,449
"totalt","Pedagogik och undervisning"," Stockholms län","Totalt",35,16,83,345,418,34,16,83,293,362,26,15,42,182,263,23,14,19,96,144
"totalt","Pedagogik och undervisning"," Stockholms län","Heltid",0,0,0,82,41,0,0,0,76,41,0,0,0,43,33,0,0,0,22,19
"totalt","Pedagogik och undervisning"," Stockholms län","Deltid",35,16,83,263,377,34,16,83,239,327,26,15,42,156,235,23,14,19,76,126
"totalt","Pedagogik och undervisning"," Uppsala län","Totalt",6,3,14,80,62,6,0,12,68,53,6,3,6,42,35,6,0,6,19,17
"totalt","Pedagogik och undervisning"," Uppsala län","Heltid",0,0,0,20,7,0,0,0,16,7,0,0,0,11,6,0,0,0,4,0
"totalt","Pedagogik och undervisning"," Uppsala län","Deltid",6,3,14,60,55,6,0,12,57,46,6,0,6,36,29,6,3,6,15,16
"totalt","Pedagogik och undervisning"," Södermanlands län","Totalt",5,0,25,69,50,5,0,25,61,40,4,0,13,35,29,3,0,4,12,15
"totalt","Pedagogik och undervisning"," Södermanlands län","Heltid",0,0,0,10,7,0,0,0,7,6,0,0,0,0,5,0,0,0,0,3
"totalt","Pedagogik och undervisning"," Södermanlands län","Deltid",5,0,25,59,43,5,0,25,56,36,4,0,13,33,24,3,0,4,11,12
"totalt","Pedagogik och undervisning"," Östergötlands län","Totalt",6,0,30,104,75,6,0,30,87,66,5,0,23,60,46,3,0,5,20,18
"totalt","Pedagogik och undervisning"," Östergötlands län","Heltid",0,0,0,25,13,0,0,0,22,13,0,0,0,12,10,0,0,0,3,5
"totalt","Pedagogik och undervisning"," Östergötlands län","Deltid",6,0,30,79,62,6,0,30,71,54,5,0,23,51,37,3,0,5,17,13
"totalt","Pedagogik och undervisning"," Jönköpings län","Totalt",4,0,13,53,49,4,0,11,44,43,4,0,10,33,35,4,0,4,10,22
"totalt","Pedagogik och undervisning"," Jönköpings län","Heltid",0,0,0,10,5,0,0,0,9,5,0,0,0,5,5,0,0,0,3,3
"totalt","Pedagogik och undervisning"," Jönköpings län","Deltid",4,0,13,43,44,4,0,11,37,39,4,0,10,30,31,4,0,4,8,20
"totalt","Pedagogik och undervisning"," Kronobergs län","Totalt",0,3,7,36,20,0,0,7,28,17,0,3,4,17,13,0,0,3,10,7
"totalt","Pedagogik och undervisning"," Kronobergs län","Heltid",0,0,0,9,4,0,0,0,9,4,0,0,0,5,4,0,0,0,0,3
"totalt","Pedagogik och undervisning"," Kronobergs län","Deltid",0,0,7,27,16,0,0,7,25,14,0,3,4,17,9,0,0,3,10,4
"totalt","Pedagogik och undervisning"," Kalmar län","Totalt",4,0,15,43,29,4,0,15,30,25,4,0,6,25,15,3,3,0,9,5
"totalt","Pedagogik och undervisning"," Kalmar län","Heltid",0,0,0,7,0,0,0,0,5,3,0,0,0,5,3,0,0,0,3,0
"totalt","Pedagogik och undervisning"," Kalmar län","Deltid",4,3,15,36,27,4,0,15,27,23,4,0,6,22,13,3,0,0,6,4
"totalt","Pedagogik och undervisning"," Gotlands län","Totalt",0,0,4,9,0,0,0,4,8,3,0,0,0,3,0,3,0,0,0,0
"totalt","Pedagogik och undervisning"," Gotlands län","Heltid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"totalt","Pedagogik och undervisning"," Gotlands län","Deltid",0,0,4,9,0,0,0,4,8,3,0,0,0,3,3,0,0,0,0,0
"totalt","Pedagogik och undervisning"," Blekinge län","Totalt",0,0,18,22,23,0,0,17,17,21,0,0,11,11,15,0,0,0,7,10
"totalt","Pedagogik och undervisning"," Blekinge län","Heltid",0,0,0,5,0,0,0,0,5,0,0,0,0,3,3,0,0,0,0,3
"totalt","Pedagogik och undervisning"," Blekinge län","Deltid",3,0,18,17,21,0,0,17,14,19,3,0,11,9,13,0,0,0,5,8
"totalt","Pedagogik och undervisning"," Skåne län","Totalt",19,8,70,244,172,19,8,69,191,157,18,8,37,124,113,15,8,19,54,73
"totalt","Pedagogik och undervisning"," Skåne län","Heltid",0,0,0,55,30,0,0,0,51,30,0,0,0,30,23,0,0,0,10,17
"totalt","Pedagogik och undervisning"," Skåne län","Deltid",19,8,70,189,142,19,8,69,161,128,18,8,37,106,90,15,8,19,44,56
"totalt","Pedagogik och undervisning"," Hallands län","Totalt",11,0,23,79,46,11,0,22,62,43,11,3,13,39,33,9,3,0,16,17
"totalt","Pedagogik och undervisning"," Hallands län","Heltid",0,0,0,19,13,0,0,0,17,13,0,0,0,8,12,0,0,0,5,4
"totalt","Pedagogik och undervisning"," Hallands län","Deltid",11,0,23,60,33,11,3,22,49,30,11,0,13,34,21,9,3,0,11,13
"totalt","Pedagogik och undervisning"," Västra Götalands län","Totalt",57,16,140,427,277,57,16,135,369,250,50,16,81,233,178,43,16,46,112,110
"totalt","Pedagogik och undervisning"," Västra Götalands län","Heltid",0,0,0,66,19,0,0,0,59,19,0,0,0,29,14,0,0,0,16,10
"totalt","Pedagogik och undervisning"," Västra Götalands län","Deltid",57,16,140,361,258,57,16,135,322,232,50,16,81,211,164,43,16,46,98,100
"totalt","Pedagogik och undervisning"," Värmlands län","Totalt",3,0,19,55,31,3,0,19,45,29,3,0,7,26,18,3,0,0,9,10
"totalt","Pedagogik och undervisning"," Värmlands län","Heltid",0,0,0,11,4,0,0,0,11,4,0,0,0,7,3,0,0,0,3,0
"totalt","Pedagogik och undervisning"," Värmlands län","Deltid",3,0,19,44,27,3,0,19,36,25,0,0,7,21,15,3,0,3,6,8
"totalt","Pedagogik och undervisning"," Örebro län","Totalt",0,0,9,45,18,3,0,9,34,17,0,0,5,18,11,3,0,0,9,5
"totalt","Pedagogik och undervisning"," Örebro län","Heltid",0,0,0,16,0,0,0,0,14,0,0,0,0,7,0,0,0,0,0,0
"totalt","Pedagogik och undervisning"," Örebro län","Deltid",3,0,9,29,17,3,0,9,23,16,3,0,5,14,10,0,0,0,7,5
"totalt","Pedagogik och undervisning"," Västmanlands län","Totalt",4,3,20,82,51,4,3,20,66,41,3,0,9,42,27,3,0,6,20,20
"totalt","Pedagogik och undervisning"," Västmanlands län","Heltid",0,0,0,25,5,0,0,0,22,5,0,0,0,14,4,0,0,0,7,3
"totalt","Pedagogik och undervisning"," Västmanlands län","Deltid",4,0,20,57,46,4,0,20,51,37,3,0,9,34,24,0,0,6,14,17
"totalt","Pedagogik och undervisning"," Dalarnas län","Totalt",11,0,16,51,38,11,0,15,48,30,11,0,6,26,21,10,0,0,14,12
"totalt","Pedagogik och undervisning"," Dalarnas län","Heltid",0,0,0,14,4,0,0,0,13,4,0,0,0,5,3,0,0,0,3,0
"totalt","Pedagogik och undervisning"," Dalarnas län","Deltid",11,0,16,37,34,11,0,15,37,26,11,0,6,21,19,10,0,0,11,10
"totalt","Pedagogik och undervisning"," Gävleborgs län","Totalt",3,0,15,67,35,3,0,12,49,34,0,0,6,29,22,3,0,3,17,11
"totalt","Pedagogik och undervisning"," Gävleborgs län","Heltid",0,0,0,16,4,0,0,0,15,4,0,0,0,8,3,0,0,0,5,3
"totalt","Pedagogik och undervisning"," Gävleborgs län","Deltid",0,0,15,51,31,3,0,12,41,30,0,0,6,26,19,0,0,3,12,8
"totalt","Pedagogik och undervisning"," Västernorrlands län","Totalt",3,3,6,58,38,3,3,6,41,32,3,3,3,26,22,0,3,3,12,12
"totalt","Pedagogik och undervisning"," Västernorrlands län","Heltid",0,0,0,13,8,0,0,0,12,8,0,0,0,7,8,0,0,0,5,5
"totalt","Pedagogik och undervisning"," Västernorrlands län","Deltid",3,0,6,45,30,3,3,6,35,27,3,3,0,23,15,0,3,3,9,8
"totalt","Pedagogik och undervisning"," Jämtlands län","Totalt",3,0,9,30,16,0,0,9,23,15,0,0,6,17,12,0,0,0,6,5
"totalt","Pedagogik och undervisning"," Jämtlands län","Heltid",0,0,0,10,0,0,0,0,9,0,0,0,0,6,0,0,0,0,4,0
"totalt","Pedagogik och undervisning"," Jämtlands län","Deltid",0,0,9,20,16,0,3,9,17,15,3,0,6,12,12,0,0,0,0,5
"totalt","Pedagogik och undervisning"," Västerbottens län","Totalt",3,0,8,31,26,0,0,8,20,21,3,0,3,12,16,0,0,0,8,8
"totalt","Pedagogik och undervisning"," Västerbottens län","Heltid",0,0,0,8,4,0,0,0,8,4,0,0,0,3,3,0,0,0,3,3
"totalt","Pedagogik och undervisning"," Västerbottens län","Deltid",0,0,8,23,22,3,0,8,15,18,3,0,3,11,14,3,0,0,7,7
"totalt","Pedagogik och undervisning"," Norrbottens län","Totalt",4,0,10,34,21,4,0,10,28,19,4,0,4,19,18,3,0,3,11,10
"totalt","Pedagogik och undervisning"," Norrbottens län","Heltid",0,0,0,6,6,0,0,0,6,6,0,0,0,3,6,0,0,0,0,3
"totalt","Pedagogik och undervisning"," Norrbottens län","Deltid",4,0,10,28,15,4,0,10,24,13,4,0,4,19,12,3,0,3,9,7
"totalt","Pedagogik och undervisning","Uppgift saknas","Totalt",3,0,0,9,3,3,3,3,8,3,3,0,0,7,0,3,0,3,3,3
"totalt","Pedagogik och undervisning","Uppgift saknas","Heltid",0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0
"totalt","Pedagogik och undervisning","Uppgift saknas","Deltid",3,3,3,6,0,3,3,0,6,0,3,0,0,5,0,0,0,0,3,3
"totalt","Samhällsbyggnad och byggteknik","Samtliga län","Totalt",1224,1424,3132,5202,5852,1044,1209,2255,3418,4018,796,880,1403,2436,2797,588,697,1125,1998,2147
"totalt","Samhällsbyggnad och byggteknik","Samtliga län","Heltid",743,355,450,1088,1159,664,309,386,835,995,534,251,275,619,576,410,217,228,469,439
"totalt","Samhällsbyggnad och byggteknik","Samtliga län","Deltid",481,1069,2682,4114,4693,426,925,1928,2793,3298,285,644,1156,1958,2395,194,490,911,1596,1805
"totalt","Samhällsbyggnad och byggteknik"," Stockholms län","Totalt",419,489,1180,2029,2117,358,401,805,1243,1373,265,280,482,906,970,195,227,397,769,743
"totalt","Samhällsbyggnad och byggteknik"," Stockholms län","Heltid",228,125,176,343,395,209,102,148,263,317,180,80,110,196,200,134,67,95,151,159
"totalt","Samhällsbyggnad och byggteknik"," Stockholms län","Deltid",191,364,1004,1686,1722,166,310,682,1063,1155,96,207,384,763,835,68,164,309,644,623
"totalt","Samhällsbyggnad och byggteknik"," Uppsala län","Totalt",56,63,145,244,279,44,55,98,155,190,36,43,70,107,129,24,36,62,88,100
"totalt","Samhällsbyggnad och byggteknik"," Uppsala län","Heltid",46,28,32,50,66,38,26,29,38,53,30,24,22,30,24,21,22,22,23,22
"totalt","Samhällsbyggnad och byggteknik"," Uppsala län","Deltid",10,35,113,194,213,9,31,74,126,149,7,20,49,83,111,3,15,41,68,83
"totalt","Samhällsbyggnad och byggteknik"," Södermanlands län","Totalt",42,26,84,117,178,39,22,68,83,121,26,18,48,57,83,20,16,40,45,66
"totalt","Samhällsbyggnad och byggteknik"," Södermanlands län","Heltid",24,4,10,21,31,22,4,9,17,26,16,3,8,10,17,14,3,8,5,14
"totalt","Samhällsbyggnad och byggteknik"," Södermanlands län","Deltid",18,22,74,96,147,17,18,59,71,103,10,15,40,50,71,6,13,32,40,55
"totalt","Samhällsbyggnad och byggteknik"," Östergötlands län","Totalt",63,71,137,156,187,55,59,94,118,140,46,49,68,89,94,32,41,61,70,73
"totalt","Samhällsbyggnad och byggteknik"," Östergötlands län","Heltid",46,7,10,25,31,42,7,10,22,28,38,6,8,18,15,29,5,7,14,11
"totalt","Samhällsbyggnad och byggteknik"," Östergötlands län","Deltid",17,64,127,131,156,16,53,85,100,118,8,43,61,75,82,3,36,55,57,65
"totalt","Samhällsbyggnad och byggteknik"," Jönköpings län","Totalt",10,25,48,127,154,10,19,36,87,99,7,15,24,68,70,6,13,15,59,54
"totalt","Samhällsbyggnad och byggteknik"," Jönköpings län","Heltid",7,0,5,24,30,7,3,4,19,24,5,0,4,14,9,4,0,3,9,5
"totalt","Samhällsbyggnad och byggteknik"," Jönköpings län","Deltid",3,24,43,103,124,3,18,33,72,85,3,15,21,57,66,0,13,13,53,52
"totalt","Samhällsbyggnad och byggteknik"," Kronobergs län","Totalt",15,12,40,70,54,13,11,28,44,40,9,7,18,38,28,7,5,11,30,20
"totalt","Samhällsbyggnad och byggteknik"," Kronobergs län","Heltid",13,0,5,14,7,12,0,4,7,6,9,0,3,7,3,7,0,0,6,3
"totalt","Samhällsbyggnad och byggteknik"," Kronobergs län","Deltid",3,11,35,56,47,3,10,26,38,36,0,6,17,32,26,0,4,11,24,19
"totalt","Samhällsbyggnad och byggteknik"," Kalmar län","Totalt",9,21,27,79,84,8,17,22,44,60,7,13,16,30,42,5,9,14,21,35
"totalt","Samhällsbyggnad och byggteknik"," Kalmar län","Heltid",8,6,3,19,17,7,5,3,13,17,6,3,3,9,10,5,3,0,6,8
"totalt","Samhällsbyggnad och byggteknik"," Kalmar län","Deltid",0,15,24,60,67,0,12,20,35,50,0,10,14,22,37,0,6,12,15,30
"totalt","Samhällsbyggnad och byggteknik"," Gotlands län","Totalt",9,14,14,22,22,6,11,10,15,12,6,11,9,9,9,6,8,3,8,9
"totalt","Samhällsbyggnad och byggteknik"," Gotlands län","Heltid",8,9,8,7,4,5,7,6,4,3,5,7,6,3,3,5,6,3,0,0
"totalt","Samhällsbyggnad och byggteknik"," Gotlands län","Deltid",0,5,6,15,18,0,4,4,11,10,3,4,3,8,8,0,3,3,7,8
"totalt","Samhällsbyggnad och byggteknik"," Blekinge län","Totalt",14,14,35,50,54,13,13,26,37,37,10,13,15,25,30,10,9,11,19,16
"totalt","Samhällsbyggnad och byggteknik"," Blekinge län","Heltid",11,5,3,12,8,11,5,3,12,8,8,5,0,6,6,8,4,3,0,3
"totalt","Samhällsbyggnad och byggteknik"," Blekinge län","Deltid",3,9,32,38,46,0,8,23,26,33,3,8,14,20,26,0,5,10,17,15
"totalt","Samhällsbyggnad och byggteknik"," Skåne län","Totalt",151,192,407,614,722,110,163,299,427,513,81,118,176,281,364,55,86,141,234,274
"totalt","Samhällsbyggnad och byggteknik"," Skåne län","Heltid",95,62,81,151,162,78,55,69,115,144,58,48,44,82,101,39,42,37,62,69
"totalt","Samhällsbyggnad och byggteknik"," Skåne län","Deltid",56,130,326,463,560,43,113,240,347,402,29,73,137,221,290,21,47,106,184,218
"totalt","Samhällsbyggnad och byggteknik"," Hallands län","Totalt",27,27,67,140,161,27,26,50,89,107,21,19,30,69,83,14,12,25,59,64
"totalt","Samhällsbyggnad och byggteknik"," Hallands län","Heltid",14,5,8,30,34,14,4,7,21,29,12,3,3,18,16,10,0,3,14,14
"totalt","Samhällsbyggnad och byggteknik"," Hallands län","Deltid",13,22,59,110,127,13,22,43,76,89,9,16,27,57,74,4,11,22,48,55
"totalt","Samhällsbyggnad och byggteknik"," Västra Götalands län","Totalt",200,224,472,674,920,179,200,365,491,653,146,154,240,348,450,111,121,190,280,341
"totalt","Samhällsbyggnad och byggteknik"," Västra Götalands län","Heltid",102,54,54,192,192,90,46,45,147,172,70,37,30,112,91,55,34,26,90,66
"totalt","Samhällsbyggnad och byggteknik"," Västra Götalands län","Deltid",98,170,418,482,728,90,157,325,371,526,77,119,213,252,387,57,88,165,198,286
"totalt","Samhällsbyggnad och byggteknik"," Värmlands län","Totalt",20,29,45,62,100,17,27,35,47,63,16,17,15,29,49,12,11,9,18,36
"totalt","Samhällsbyggnad och byggteknik"," Värmlands län","Heltid",13,3,3,12,20,12,3,3,10,19,11,0,0,7,13,8,3,0,4,9
"totalt","Samhällsbyggnad och byggteknik"," Värmlands län","Deltid",7,26,42,50,80,5,24,33,39,49,5,15,15,24,40,4,9,9,15,29
"totalt","Samhällsbyggnad och byggteknik"," Örebro län","Totalt",20,50,59,109,125,18,42,47,82,103,13,26,27,54,60,8,23,24,44,55
"totalt","Samhällsbyggnad och byggteknik"," Örebro län","Heltid",10,6,6,33,29,9,6,6,28,26,6,3,4,19,14,5,3,3,16,13
"totalt","Samhällsbyggnad och byggteknik"," Örebro län","Deltid",10,44,53,76,96,10,37,43,57,78,7,24,23,38,47,3,21,21,28,42
"totalt","Samhällsbyggnad och byggteknik"," Västmanlands län","Totalt",38,54,85,191,139,33,46,62,102,97,23,31,38,67,63,17,26,32,50,52
"totalt","Samhällsbyggnad och byggteknik"," Västmanlands län","Heltid",26,8,11,31,20,23,8,11,22,17,19,7,5,17,11,17,6,4,14,7
"totalt","Samhällsbyggnad och byggteknik"," Västmanlands län","Deltid",12,46,74,160,119,11,39,53,86,87,5,24,33,56,57,0,20,28,39,47
"totalt","Samhällsbyggnad och byggteknik"," Dalarnas län","Totalt",31,22,47,82,122,26,18,32,55,87,21,14,15,41,61,20,9,13,34,49
"totalt","Samhällsbyggnad och byggteknik"," Dalarnas län","Heltid",22,7,3,20,23,20,7,3,19,22,16,5,3,12,10,16,4,3,10,9
"totalt","Samhällsbyggnad och byggteknik"," Dalarnas län","Deltid",9,15,44,62,99,9,11,30,39,72,5,9,13,31,56,4,5,10,25,44
"totalt","Samhällsbyggnad och byggteknik"," Gävleborgs län","Totalt",38,23,61,102,123,31,19,42,70,89,22,14,23,50,58,18,12,16,37,48
"totalt","Samhällsbyggnad och byggteknik"," Gävleborgs län","Heltid",31,11,9,25,20,27,9,6,20,19,18,6,6,14,6,14,4,4,8,6
"totalt","Samhällsbyggnad och byggteknik"," Gävleborgs län","Deltid",7,12,52,77,103,7,11,37,53,76,6,9,18,37,54,5,8,13,30,43
"totalt","Samhällsbyggnad och byggteknik"," Västernorrlands län","Totalt",12,22,39,79,60,11,20,32,58,52,9,15,20,36,34,8,13,14,31,25
"totalt","Samhällsbyggnad och byggteknik"," Västernorrlands län","Heltid",10,3,3,12,16,9,3,3,10,15,7,0,0,6,7,6,0,0,5,7
"totalt","Samhällsbyggnad och byggteknik"," Västernorrlands län","Deltid",3,20,36,67,44,0,18,29,50,38,3,13,20,32,28,3,11,14,28,19
"totalt","Samhällsbyggnad och byggteknik"," Jämtlands län","Totalt",11,15,28,55,44,10,13,20,40,34,7,9,14,27,26,5,6,11,20,20
"totalt","Samhällsbyggnad och byggteknik"," Jämtlands län","Heltid",8,3,5,15,10,8,3,3,9,9,7,3,3,6,7,5,3,3,5,6
"totalt","Samhällsbyggnad och byggteknik"," Jämtlands län","Deltid",3,12,23,40,34,3,10,18,32,25,0,6,12,22,19,0,4,10,15,14
"totalt","Samhällsbyggnad och byggteknik"," Västerbottens län","Totalt",18,12,54,97,85,18,10,40,63,63,11,4,26,49,42,7,4,16,39,30
"totalt","Samhällsbyggnad och byggteknik"," Västerbottens län","Heltid",11,3,7,25,20,11,3,7,18,19,5,0,7,16,9,3,3,5,10,7
"totalt","Samhällsbyggnad och byggteknik"," Västerbottens län","Deltid",7,10,47,72,65,7,8,33,50,50,6,3,19,38,36,4,3,11,30,25
"totalt","Samhällsbyggnad och byggteknik"," Norrbottens län","Totalt",12,13,32,64,60,12,11,25,44,46,9,8,20,38,30,6,8,16,28,21
